"Year","Industries_luok","Municipality","Bankruptcies instigated, number of enterprises","Bankruptcies instigated, number of employees"
"2022","Manufacturing, mining and energy and water supply","Jomala",0,0
"2022","Manufacturing, mining and energy and water supply","Joroinen",1,9
"2022","Manufacturing, mining and energy and water supply","Joutsa",0,0
"2022","Manufacturing, mining and energy and water supply","Juuka",2,21
"2022","Manufacturing, mining and energy and water supply","Juupajoki",0,0
"2022","Manufacturing, mining and energy and water supply","Juva",1,2
"2022","Manufacturing, mining and energy and water supply","Jyväskylä",5,10
"2022","Manufacturing, mining and energy and water supply","Jämijärvi",0,0
"2022","Manufacturing, mining and energy and water supply","Jämsä",2,8
"2022","Manufacturing, mining and energy and water supply","Järvenpää",1,9
"2022","Manufacturing, mining and energy and water supply","Kaarina",1,61
"2022","Manufacturing, mining and energy and water supply","Kaavi",1,1
"2022","Manufacturing, mining and energy and water supply","Kajaani",0,0
"2022","Manufacturing, mining and energy and water supply","Kalajoki",0,0
"2022","Manufacturing, mining and energy and water supply","Kangasala",0,0
"2022","Manufacturing, mining and energy and water supply","Kangasniemi",1,6
"2022","Manufacturing, mining and energy and water supply","Kankaanpää",0,0
"2022","Manufacturing, mining and energy and water supply","Kannonkoski",0,0
"2022","Manufacturing, mining and energy and water supply","Kannus",0,0
"2022","Manufacturing, mining and energy and water supply","Karijoki",0,0
"2022","Manufacturing, mining and energy and water supply","Karkkila",0,0
"2022","Manufacturing, mining and energy and water supply","Karstula",1,1
"2022","Manufacturing, mining and energy and water supply","Karvia",1,2
"2022","Manufacturing, mining and energy and water supply","Kaskinen",0,0
"2022","Manufacturing, mining and energy and water supply","Kauhajoki",0,0
"2022","Manufacturing, mining and energy and water supply","Kauhava",0,0
"2022","Manufacturing, mining and energy and water supply","Kauniainen",1,1
"2022","Manufacturing, mining and energy and water supply","Kaustinen",0,0
"2022","Manufacturing, mining and energy and water supply","Keitele",0,0
"2022","Manufacturing, mining and energy and water supply","Kemi",0,0
"2022","Manufacturing, mining and energy and water supply","Kemijärvi",1,1
"2022","Manufacturing, mining and energy and water supply","Keminmaa",0,0
"2022","Manufacturing, mining and energy and water supply","Kimitoön",0,0
"2022","Manufacturing, mining and energy and water supply","Kempele",1,1
"2022","Manufacturing, mining and energy and water supply","Kerava",1,3
"2022","Manufacturing, mining and energy and water supply","Keuruu",0,0
"2022","Manufacturing, mining and energy and water supply","Kihniö",0,0
"2022","Manufacturing, mining and energy and water supply","Kinnula",0,0
"2022","Manufacturing, mining and energy and water supply","Kirkkonummi",0,0
"2022","Manufacturing, mining and energy and water supply","Kitee",1,1
"2022","Manufacturing, mining and energy and water supply","Kittilä",0,0
"2022","Manufacturing, mining and energy and water supply","Kiuruvesi",0,0
"2022","Manufacturing, mining and energy and water supply","Kivijärvi",0,0
"2022","Manufacturing, mining and energy and water supply","Kokemäki",1,1
"2022","Manufacturing, mining and energy and water supply","Kokkola",3,17
"2022","Manufacturing, mining and energy and water supply","Kolari",0,0
"2022","Manufacturing, mining and energy and water supply","Konnevesi",0,0
"2022","Manufacturing, mining and energy and water supply","Kontiolahti",1,14
"2022","Manufacturing, mining and energy and water supply","Korsnäs",0,0
"2022","Manufacturing, mining and energy and water supply","Koski Tl",0,0
"2022","Manufacturing, mining and energy and water supply","Kotka",0,0
"2022","Manufacturing, mining and energy and water supply","Kouvola",4,10
"2022","Manufacturing, mining and energy and water supply","Kristinestad",1,1
"2022","Manufacturing, mining and energy and water supply","Kronoby",1,12
"2022","Manufacturing, mining and energy and water supply","Kuhmo",1,65
"2022","Manufacturing, mining and energy and water supply","Kuhmoinen",1,2
"2022","Manufacturing, mining and energy and water supply","Kumlinge",0,0
"2022","Manufacturing, mining and energy and water supply","Kuopio",4,12
"2022","Manufacturing, mining and energy and water supply","Kuortane",0,0
"2022","Manufacturing, mining and energy and water supply","Kurikka",4,21
"2022","Manufacturing, mining and energy and water supply","Kustavi",0,0
"2022","Manufacturing, mining and energy and water supply","Kuusamo",0,0
"2022","Manufacturing, mining and energy and water supply","Kyyjärvi",0,0
"2022","Manufacturing, mining and energy and water supply","Kärkölä",0,0
"2022","Manufacturing, mining and energy and water supply","Kärsämäki",0,0
"2022","Manufacturing, mining and energy and water supply","Kökar",0,0
"2022","Manufacturing, mining and energy and water supply","Lahti",7,10
"2022","Manufacturing, mining and energy and water supply","Laihia",0,0
"2022","Manufacturing, mining and energy and water supply","Laitila",1,31
"2022","Manufacturing, mining and energy and water supply","Lapinjärvi",0,0
"2022","Manufacturing, mining and energy and water supply","Lapinlahti",0,0
"2022","Manufacturing, mining and energy and water supply","Lappajärvi",0,0
"2022","Manufacturing, mining and energy and water supply","Lappeenranta",4,27
"2022","Manufacturing, mining and energy and water supply","Lapua",0,0
"2022","Manufacturing, mining and energy and water supply","Laukaa",1,1
"2022","Manufacturing, mining and energy and water supply","Lemi",0,0
"2022","Manufacturing, mining and energy and water supply","Lemland",0,0
"2022","Manufacturing, mining and energy and water supply","Lempäälä",1,1
"2022","Manufacturing, mining and energy and water supply","Leppävirta",0,0
"2022","Manufacturing, mining and energy and water supply","Lestijärvi",0,0
"2022","Manufacturing, mining and energy and water supply","Lieksa",1,1
"2022","Manufacturing, mining and energy and water supply","Lieto",2,15
"2022","Manufacturing, mining and energy and water supply","Liminka",0,0
"2022","Manufacturing, mining and energy and water supply","Liperi",0,0
"2022","Manufacturing, mining and energy and water supply","Lohja",1,1
"2022","Manufacturing, mining and energy and water supply","Loimaa",2,5
"2022","Manufacturing, mining and energy and water supply","Loppi",0,0
"2022","Manufacturing, mining and energy and water supply","Loviisa",1,1
"2022","Manufacturing, mining and energy and water supply","Luhanka",0,0
"2022","Manufacturing, mining and energy and water supply","Lumijoki",1,7
"2022","Manufacturing, mining and energy and water supply","Lumparland",0,0
"2022","Manufacturing, mining and energy and water supply","Larsmo",0,0
"2022","Manufacturing, mining and energy and water supply","Luumäki",0,0
"2022","Manufacturing, mining and energy and water supply","Malax",1,4
"2022","Manufacturing, mining and energy and water supply","Mariehamn",1,1
"2022","Manufacturing, mining and energy and water supply","Marttila",0,0
"2022","Manufacturing, mining and energy and water supply","Masku",1,1
"2022","Manufacturing, mining and energy and water supply","Merijärvi",0,0
"2022","Manufacturing, mining and energy and water supply","Merikarvia",0,0
"2022","Manufacturing, mining and energy and water supply","Miehikkälä",1,1
"2022","Manufacturing, mining and energy and water supply","Mikkeli",0,0
"2022","Manufacturing, mining and energy and water supply","Muhos",0,0
"2022","Manufacturing, mining and energy and water supply","Multia",0,0
"2022","Manufacturing, mining and energy and water supply","Muonio",0,0
"2022","Manufacturing, mining and energy and water supply","Korsholm",0,0
"2022","Manufacturing, mining and energy and water supply","Muurame",0,0
"2022","Manufacturing, mining and energy and water supply","Mynämäki",1,4
"2022","Manufacturing, mining and energy and water supply","Myrskylä",0,0
"2022","Manufacturing, mining and energy and water supply","Mäntsälä",2,2
"2022","Manufacturing, mining and energy and water supply","Mänttä-Vilppula",0,0
"2022","Manufacturing, mining and energy and water supply","Mäntyharju",0,0
"2022","Manufacturing, mining and energy and water supply","Naantali",2,6
"2022","Manufacturing, mining and energy and water supply","Nakkila",0,0
"2022","Manufacturing, mining and energy and water supply","Nivala",0,0
"2022","Manufacturing, mining and energy and water supply","Nokia",2,53
"2022","Manufacturing, mining and energy and water supply","Nousiainen",1,23
"2022","Manufacturing, mining and energy and water supply","Nurmes",0,0
"2022","Manufacturing, mining and energy and water supply","Nurmijärvi",2,3
"2022","Manufacturing, mining and energy and water supply","Närpes",0,0
"2022","Manufacturing, mining and energy and water supply","Orimattila",0,0
"2022","Manufacturing, mining and energy and water supply","Oripää",0,0
"2022","Manufacturing, mining and energy and water supply","Orivesi",1,2
"2022","Manufacturing, mining and energy and water supply","Oulainen",0,0
"2022","Manufacturing, mining and energy and water supply","Oulu",8,22
"2022","Manufacturing, mining and energy and water supply","Outokumpu",0,0
"2022","Manufacturing, mining and energy and water supply","Padasjoki",0,0
"2022","Manufacturing, mining and energy and water supply","Paimio",0,0
"2022","Manufacturing, mining and energy and water supply","Paltamo",0,0
"2022","Manufacturing, mining and energy and water supply","Pargas",0,0
"2022","Manufacturing, mining and energy and water supply","Parikkala",0,0
"2022","Manufacturing, mining and energy and water supply","Parkano",0,0
"2022","Manufacturing, mining and energy and water supply","Pedersöre",0,0
"2022","Manufacturing, mining and energy and water supply","Pelkosenniemi",0,0
"2022","Manufacturing, mining and energy and water supply","Pello",0,0
"2022","Manufacturing, mining and energy and water supply","Perho",1,1
"2022","Manufacturing, mining and energy and water supply","Petäjävesi",0,0
"2022","Manufacturing, mining and energy and water supply","Pieksämäki",0,0
"2022","Manufacturing, mining and energy and water supply","Pielavesi",0,0
"2022","Manufacturing, mining and energy and water supply","Jakobstad",1,54
"2022","Manufacturing, mining and energy and water supply","Pihtipudas",1,2
"2022","Manufacturing, mining and energy and water supply","Pirkkala",2,4
"2022","Manufacturing, mining and energy and water supply","Polvijärvi",0,0
"2022","Manufacturing, mining and energy and water supply","Pomarkku",0,0
"2022","Manufacturing, mining and energy and water supply","Pori",8,32
"2022","Manufacturing, mining and energy and water supply","Pornainen",0,0
"2022","Manufacturing, mining and energy and water supply","Porvoo",2,2
"2022","Manufacturing, mining and energy and water supply","Posio",0,0
"2022","Manufacturing, mining and energy and water supply","Pudasjärvi",0,0
"2022","Manufacturing, mining and energy and water supply","Pukkila",0,0
"2022","Manufacturing, mining and energy and water supply","Punkalaidun",1,2
"2022","Manufacturing, mining and energy and water supply","Puolanka",0,0
"2022","Manufacturing, mining and energy and water supply","Puumala",0,0
"2022","Manufacturing, mining and energy and water supply","Pyhtää",0,0
"2022","Manufacturing, mining and energy and water supply","Pyhäjoki",0,0
"2022","Manufacturing, mining and energy and water supply","Pyhäjärvi",0,0
"2022","Manufacturing, mining and energy and water supply","Pyhäntä",0,0
"2022","Manufacturing, mining and energy and water supply","Pyhäranta",0,0
"2022","Manufacturing, mining and energy and water supply","Pälkäne",0,0
"2022","Manufacturing, mining and energy and water supply","Pöytyä",1,1
"2022","Manufacturing, mining and energy and water supply","Raahe",0,0
"2022","Manufacturing, mining and energy and water supply","Raseborg",1,1
"2022","Manufacturing, mining and energy and water supply","Raisio",1,7
"2022","Manufacturing, mining and energy and water supply","Rantasalmi",0,0
"2022","Manufacturing, mining and energy and water supply","Ranua",0,0
"2022","Manufacturing, mining and energy and water supply","Rauma",0,0
"2022","Manufacturing, mining and energy and water supply","Rautalampi",0,0
"2022","Manufacturing, mining and energy and water supply","Rautavaara",0,0
"2022","Manufacturing, mining and energy and water supply","Rautjärvi",0,0
"2022","Manufacturing, mining and energy and water supply","Reisjärvi",0,0
"2022","Manufacturing, mining and energy and water supply","Riihimäki",0,0
"2022","Manufacturing, mining and energy and water supply","Ristijärvi",0,0
"2022","Manufacturing, mining and energy and water supply","Rovaniemi",1,4
"2022","Manufacturing, mining and energy and water supply","Ruokolahti",0,0
"2022","Manufacturing, mining and energy and water supply","Ruovesi",0,0
"2022","Manufacturing, mining and energy and water supply","Rusko",1,8
"2022","Manufacturing, mining and energy and water supply","Rääkkylä",1,4
"2022","Manufacturing, mining and energy and water supply","Saarijärvi",2,41
"2022","Manufacturing, mining and energy and water supply","Salla",0,0
"2022","Manufacturing, mining and energy and water supply","Salo",2,8
"2022","Manufacturing, mining and energy and water supply","Saltvik",0,0
"2022","Manufacturing, mining and energy and water supply","Sastamala",0,0
"2022","Manufacturing, mining and energy and water supply","Sauvo",1,1
"2022","Manufacturing, mining and energy and water supply","Savitaipale",0,0
"2022","Manufacturing, mining and energy and water supply","Savonlinna",1,16
"2022","Manufacturing, mining and energy and water supply","Savukoski",0,0
"2022","Manufacturing, mining and energy and water supply","Seinäjoki",2,12
"2022","Manufacturing, mining and energy and water supply","Sievi",1,32
"2022","Manufacturing, mining and energy and water supply","Siikainen",0,0
"2022","Manufacturing, mining and energy and water supply","Siikajoki",0,0
"2022","Manufacturing, mining and energy and water supply","Siikalatva",1,28
"2022","Manufacturing, mining and energy and water supply","Siilinjärvi",1,7
"2022","Manufacturing, mining and energy and water supply","Simo",0,0
"2022","Manufacturing, mining and energy and water supply","Sipoo",0,0
"2022","Manufacturing, mining and energy and water supply","Siuntio",0,0
"2022","Manufacturing, mining and energy and water supply","Sodankylä",0,0
"2022","Manufacturing, mining and energy and water supply","Soini",0,0
"2022","Manufacturing, mining and energy and water supply","Somero",0,0
"2022","Manufacturing, mining and energy and water supply","Sonkajärvi",0,0
"2022","Manufacturing, mining and energy and water supply","Sotkamo",0,0
"2022","Manufacturing, mining and energy and water supply","Sottunga",0,0
"2022","Manufacturing, mining and energy and water supply","Sulkava",2,12
"2022","Manufacturing, mining and energy and water supply","Sund",1,10
"2022","Manufacturing, mining and energy and water supply","Suomussalmi",1,11
"2022","Manufacturing, mining and energy and water supply","Suonenjoki",0,0
"2022","Manufacturing, mining and energy and water supply","Sysmä",0,0
"2022","Manufacturing, mining and energy and water supply","Säkylä",0,0
"2022","Manufacturing, mining and energy and water supply","Taipalsaari",0,0
"2022","Manufacturing, mining and energy and water supply","Taivalkoski",0,0
"2022","Manufacturing, mining and energy and water supply","Taivassalo",0,0
"2022","Manufacturing, mining and energy and water supply","Tammela",0,0
"2022","Manufacturing, mining and energy and water supply","Tampere",13,77
"2022","Manufacturing, mining and energy and water supply","Tervo",0,0
"2022","Manufacturing, mining and energy and water supply","Tervola",0,0
"2022","Manufacturing, mining and energy and water supply","Teuva",0,0
"2022","Manufacturing, mining and energy and water supply","Tohmajärvi",0,0
"2022","Manufacturing, mining and energy and water supply","Toholampi",0,0
"2022","Manufacturing, mining and energy and water supply","Toivakka",0,0
"2022","Manufacturing, mining and energy and water supply","Tornio",1,2
"2022","Manufacturing, mining and energy and water supply","Turku",10,50
"2022","Manufacturing, mining and energy and water supply","Tuusniemi",0,0
"2022","Manufacturing, mining and energy and water supply","Tuusula",1,3
"2022","Manufacturing, mining and energy and water supply","Tyrnävä",0,0
"2022","Manufacturing, mining and energy and water supply","Ulvila",1,1
"2022","Manufacturing, mining and energy and water supply","Urjala",0,0
"2022","Manufacturing, mining and energy and water supply","Utajärvi",0,0
"2022","Manufacturing, mining and energy and water supply","Utsjoki",0,0
"2022","Manufacturing, mining and energy and water supply","Uurainen",0,0
"2022","Manufacturing, mining and energy and water supply","Nykarleby",0,0
"2022","Manufacturing, mining and energy and water supply","Uusikaupunki",1,1
"2022","Manufacturing, mining and energy and water supply","Vaala",0,0
"2022","Manufacturing, mining and energy and water supply","Vaasa",1,1
"2022","Manufacturing, mining and energy and water supply","Valkeakoski",1,1
"2022","Manufacturing, mining and energy and water supply","Vantaa",1,2
"2022","Manufacturing, mining and energy and water supply","Varkaus",3,12
"2022","Manufacturing, mining and energy and water supply","Vehmaa",0,0
"2022","Manufacturing, mining and energy and water supply","Vesanto",0,0
"2022","Manufacturing, mining and energy and water supply","Vesilahti",0,0
"2022","Manufacturing, mining and energy and water supply","Veteli",0,0
"2022","Manufacturing, mining and energy and water supply","Vieremä",0,0
"2022","Manufacturing, mining and energy and water supply","Vihti",1,1
"2022","Manufacturing, mining and energy and water supply","Viitasaari",0,0
"2022","Manufacturing, mining and energy and water supply","Vimpeli",0,0
"2022","Manufacturing, mining and energy and water supply","Virolahti",0,0
"2022","Manufacturing, mining and energy and water supply","Virrat",0,0
"2022","Manufacturing, mining and energy and water supply","Vårdö",0,0
"2022","Manufacturing, mining and energy and water supply","Vörå",0,0
"2022","Manufacturing, mining and energy and water supply","Ylitornio",0,0
"2022","Manufacturing, mining and energy and water supply","Ylivieska",0,0
"2022","Manufacturing, mining and energy and water supply","Ylöjärvi",1,2
"2022","Manufacturing, mining and energy and water supply","Ypäjä",1,11
"2022","Manufacturing, mining and energy and water supply","Ähtäri",0,0
"2022","Manufacturing, mining and energy and water supply","Äänekoski",1,21
"2022","Construction","WHOLE COUNTRY",564,2681
"2022","Construction","Akaa",1,1
"2022","Construction","Alajärvi",0,0
"2022","Construction","Alavieska",0,0
"2022","Construction","Alavus",3,5
"2022","Construction","Asikkala",0,0
"2022","Construction","Askola",0,0
"2022","Construction","Aura",3,3
"2022","Construction","Brändö",0,0
"2022","Construction","Eckerö",0,0
"2022","Construction","Enonkoski",0,0
"2022","Construction","Enontekiö",0,0
"2022","Construction","Espoo",32,109
"2022","Construction","Eura",0,0
"2022","Construction","Eurajoki",1,1
"2022","Construction","Evijärvi",0,0
"2022","Construction","Finström",0,0
"2022","Construction","Forssa",0,0
"2022","Construction","Föglö",0,0
"2022","Construction","Geta",0,0
"2022","Construction","Haapajärvi",0,0
"2022","Construction","Haapavesi",0,0
"2022","Construction","Hailuoto",0,0
"2022","Construction","Halsua",0,0
"2022","Construction","Hamina",3,14
"2022","Construction","Hammarland",0,0
"2022","Construction","Hankasalmi",0,0
"2022","Construction","Hanko",0,0
"2022","Construction","Harjavalta",0,0
"2022","Construction","Hartola",0,0
"2022","Construction","Hattula",0,0
"2022","Construction","Hausjärvi",1,3
"2022","Construction","Heinola",2,2
"2022","Construction","Heinävesi",0,0
"2022","Construction","Helsinki",96,542
"2022","Construction","Hirvensalmi",0,0
"2022","Construction","Hollola",1,1
"2022","Construction","Huittinen",0,0
"2022","Construction","Humppila",0,0
"2022","Construction","Hyrynsalmi",0,0
"2022","Construction","Hyvinkää",4,30
"2022","Construction","Hämeenkyrö",1,16
"2022","Construction","Hämeenlinna",9,28
"2022","Construction","Ii",0,0
"2022","Construction","Iisalmi",0,0
"2022","Construction","Iitti",4,8
"2022","Construction","Ikaalinen",2,5
"2022","Construction","Ilmajoki",2,3
"2022","Construction","Ilomantsi",0,0
"2022","Construction","Imatra",2,2
"2022","Construction","Inari",0,0
"2022","Construction","Ingå",3,15
"2022","Construction","Isojoki",0,0
"2022","Construction","Isokyrö",0,0
"2022","Construction","Janakkala",2,7
"2022","Construction","Joensuu",2,12
"2022","Construction","Jokioinen",0,0
"2022","Construction","Jomala",0,0
"2022","Construction","Joroinen",0,0
"2022","Construction","Joutsa",1,2
"2022","Construction","Juuka",0,0
"2022","Construction","Juupajoki",1,1
"2022","Construction","Juva",0,0
"2022","Construction","Jyväskylä",14,46
"2022","Construction","Jämijärvi",0,0
"2022","Construction","Jämsä",0,0
"2022","Construction","Järvenpää",6,32
"2022","Construction","Kaarina",7,63
"2022","Construction","Kaavi",0,0
"2022","Construction","Kajaani",1,12
"2022","Construction","Kalajoki",2,6
"2022","Construction","Kangasala",3,5
"2022","Construction","Kangasniemi",0,0
"2022","Construction","Kankaanpää",3,8
"2022","Construction","Kannonkoski",0,0
"2022","Construction","Kannus",0,0
"2022","Construction","Karijoki",0,0
"2022","Construction","Karkkila",0,0
"2022","Construction","Karstula",1,1
"2022","Construction","Karvia",0,0
"2022","Construction","Kaskinen",0,0
"2022","Construction","Kauhajoki",2,10
"2022","Construction","Kauhava",4,14
"2022","Construction","Kauniainen",2,2
"2022","Construction","Kaustinen",1,1
"2022","Construction","Keitele",0,0
"2022","Construction","Kemi",0,0
"2022","Construction","Kemijärvi",1,2
"2022","Construction","Keminmaa",0,0
"2022","Construction","Kimitoön",3,12
"2022","Construction","Kempele",0,0
"2022","Construction","Kerava",5,41
"2022","Construction","Keuruu",1,39
"2022","Construction","Kihniö",0,0
"2022","Construction","Kinnula",0,0
"2022","Construction","Kirkkonummi",6,11
"2022","Construction","Kitee",1,2
"2022","Construction","Kittilä",0,0
"2022","Construction","Kiuruvesi",1,32
"2022","Construction","Kivijärvi",0,0
"2022","Construction","Kokemäki",1,1
"2022","Construction","Kokkola",2,12
"2022","Construction","Kolari",0,0
"2022","Construction","Konnevesi",0,0
"2022","Construction","Kontiolahti",1,26
"2022","Construction","Korsnäs",1,19
"2022","Construction","Koski Tl",1,5
"2022","Construction","Kotka",1,1
"2022","Construction","Kouvola",7,38
"2022","Construction","Kristinestad",0,0
"2022","Construction","Kronoby",0,0
"2022","Construction","Kuhmo",1,1
"2022","Construction","Kuhmoinen",1,1
"2022","Construction","Kumlinge",0,0
"2022","Construction","Kuopio",3,17
"2022","Construction","Kuortane",0,0
"2022","Construction","Kurikka",8,28
"2022","Construction","Kustavi",0,0
"2022","Construction","Kuusamo",3,24
"2022","Construction","Kyyjärvi",0,0
"2022","Construction","Kärkölä",0,0
"2022","Construction","Kärsämäki",0,0
"2022","Construction","Kökar",0,0
"2022","Construction","Lahti",15,45
"2022","Construction","Laihia",0,0
"2022","Construction","Laitila",3,9
"2022","Construction","Lapinjärvi",0,0
"2022","Construction","Lapinlahti",0,0
"2022","Construction","Lappajärvi",0,0
"2022","Construction","Lappeenranta",4,14
"2022","Construction","Lapua",0,0
"2022","Construction","Laukaa",0,0
"2022","Construction","Lemi",0,0
"2022","Construction","Lemland",0,0
"2022","Construction","Lempäälä",7,66
"2022","Construction","Leppävirta",0,0
"2022","Construction","Lestijärvi",0,0
"2022","Construction","Lieksa",0,0
"2022","Construction","Lieto",3,5
"2022","Construction","Liminka",0,0
"2022","Construction","Liperi",0,0
"2022","Construction","Lohja",2,5
"2022","Construction","Loimaa",0,0
"2022","Construction","Loppi",1,1
"2022","Construction","Loviisa",1,2
"2022","Construction","Luhanka",0,0
"2022","Construction","Lumijoki",0,0
"2022","Construction","Lumparland",0,0
"2022","Construction","Larsmo",1,1
"2022","Construction","Luumäki",1,6
"2022","Construction","Malax",1,1
"2022","Construction","Mariehamn",1,1
"2022","Construction","Marttila",0,0
"2022","Construction","Masku",0,0
"2022","Construction","Merijärvi",0,0
"2022","Construction","Merikarvia",2,8
"2022","Construction","Miehikkälä",0,0
"2022","Construction","Mikkeli",3,7
"2022","Construction","Muhos",1,3
"2022","Construction","Multia",0,0
"2022","Construction","Muonio",1,1
"2022","Construction","Korsholm",1,1
"2022","Construction","Muurame",0,0
"2022","Construction","Mynämäki",0,0
"2022","Construction","Myrskylä",0,0
"2022","Construction","Mäntsälä",3,5
"2022","Construction","Mänttä-Vilppula",0,0
"2022","Construction","Mäntyharju",0,0
"2022","Construction","Naantali",2,2
"2022","Construction","Nakkila",1,1
"2022","Construction","Nivala",2,20
"2022","Construction","Nokia",3,8
"2022","Construction","Nousiainen",0,0
"2022","Construction","Nurmes",1,4
"2022","Construction","Nurmijärvi",6,93
"2022","Construction","Närpes",2,8
"2022","Construction","Orimattila",1,1
"2022","Construction","Oripää",0,0
"2022","Construction","Orivesi",2,16
"2022","Construction","Oulainen",1,1
"2022","Construction","Oulu",16,88
"2022","Construction","Outokumpu",0,0
"2022","Construction","Padasjoki",0,0
"2022","Construction","Paimio",1,18
"2022","Construction","Paltamo",0,0
"2022","Construction","Pargas",3,6
"2022","Construction","Parikkala",1,1
"2022","Construction","Parkano",0,0
"2022","Construction","Pedersöre",3,6
"2022","Construction","Pelkosenniemi",0,0
"2022","Construction","Pello",0,0
"2022","Construction","Perho",0,0
"2022","Construction","Petäjävesi",0,0
"2022","Construction","Pieksämäki",3,6
"2022","Construction","Pielavesi",0,0
"2022","Construction","Jakobstad",0,0
"2022","Construction","Pihtipudas",0,0
"2022","Construction","Pirkkala",1,2
"2022","Construction","Polvijärvi",1,2
"2022","Construction","Pomarkku",0,0
"2022","Construction","Pori",5,7
"2022","Construction","Pornainen",1,1
"2022","Construction","Porvoo",6,44
"2022","Construction","Posio",0,0
"2022","Construction","Pudasjärvi",2,3
"2022","Construction","Pukkila",0,0
"2022","Construction","Punkalaidun",0,0
"2022","Construction","Puolanka",1,10
"2022","Construction","Puumala",2,2
"2022","Construction","Pyhtää",0,0
"2022","Construction","Pyhäjoki",1,2
"2022","Construction","Pyhäjärvi",0,0
"2022","Construction","Pyhäntä",0,0
"2022","Construction","Pyhäranta",0,0
"2022","Construction","Pälkäne",0,0
"2022","Construction","Pöytyä",2,8
"2022","Construction","Raahe",0,0
"2022","Construction","Raseborg",4,9
"2022","Construction","Raisio",2,2
"2022","Construction","Rantasalmi",0,0
"2022","Construction","Ranua",1,1
"2022","Construction","Rauma",5,13
"2022","Construction","Rautalampi",0,0
"2022","Construction","Rautavaara",0,0
"2022","Construction","Rautjärvi",0,0
"2022","Construction","Reisjärvi",0,0
"2022","Construction","Riihimäki",2,25
"2022","Construction","Ristijärvi",0,0
"2022","Construction","Rovaniemi",2,11
"2022","Construction","Ruokolahti",0,0
"2022","Construction","Ruovesi",0,0
"2022","Construction","Rusko",0,0
"2022","Construction","Rääkkylä",1,1
"2022","Construction","Saarijärvi",1,5
"2022","Construction","Salla",0,0
"2022","Construction","Salo",5,35
"2022","Construction","Saltvik",0,0
"2022","Construction","Sastamala",2,5
"2022","Construction","Sauvo",0,0
"2022","Construction","Savitaipale",1,3
"2022","Construction","Savonlinna",2,2
"2022","Construction","Savukoski",1,19
"2022","Construction","Seinäjoki",7,39
"2022","Construction","Sievi",0,0
"2022","Construction","Siikainen",0,0
"2022","Construction","Siikajoki",0,0
"2022","Construction","Siikalatva",1,5
"2022","Construction","Siilinjärvi",2,2
"2022","Construction","Simo",0,0
"2022","Construction","Sipoo",5,14
"2022","Construction","Siuntio",2,5
"2022","Construction","Sodankylä",0,0
"2022","Construction","Soini",1,1
"2022","Construction","Somero",0,0
"2022","Construction","Sonkajärvi",0,0
"2022","Construction","Sotkamo",0,0
"2022","Construction","Sottunga",0,0
"2022","Construction","Sulkava",1,1
"2022","Construction","Sund",0,0
"2022","Construction","Suomussalmi",1,14
"2022","Construction","Suonenjoki",0,0
"2022","Construction","Sysmä",0,0
"2022","Construction","Säkylä",0,0
"2022","Construction","Taipalsaari",3,18
"2022","Construction","Taivalkoski",0,0
"2022","Construction","Taivassalo",0,0
"2022","Construction","Tammela",0,0
"2022","Construction","Tampere",12,70
"2022","Construction","Tervo",0,0
"2022","Construction","Tervola",0,0
"2022","Construction","Teuva",0,0
"2022","Construction","Tohmajärvi",1,1
"2022","Construction","Toholampi",0,0
"2022","Construction","Toivakka",1,4
"2022","Construction","Tornio",4,14
"2022","Construction","Turku",25,105
"2022","Construction","Tuusniemi",0,0
"2022","Construction","Tuusula",5,28
"2022","Construction","Tyrnävä",0,0
"2022","Construction","Ulvila",2,3
"2022","Construction","Urjala",1,2
"2022","Construction","Utajärvi",0,0
"2022","Construction","Utsjoki",1,2
"2022","Construction","Uurainen",1,4
"2022","Construction","Nykarleby",0,0
"2022","Construction","Uusikaupunki",5,32
"2022","Construction","Vaala",1,6
"2022","Construction","Vaasa",2,2
"2022","Construction","Valkeakoski",1,13
"2022","Construction","Vantaa",46,284
"2022","Construction","Varkaus",1,2
"2022","Construction","Vehmaa",0,0
"2022","Construction","Vesanto",0,0
"2022","Construction","Vesilahti",0,0
"2022","Construction","Veteli",0,0
"2022","Construction","Vieremä",1,1
"2022","Construction","Vihti",1,1
"2022","Construction","Viitasaari",2,3
"2022","Construction","Vimpeli",0,0
"2022","Construction","Virolahti",0,0
"2022","Construction","Virrat",0,0
"2022","Construction","Vårdö",0,0
"2022","Construction","Vörå",2,2
"2022","Construction","Ylitornio",0,0
"2022","Construction","Ylivieska",1,4
"2022","Construction","Ylöjärvi",2,2
"2022","Construction","Ypäjä",0,0
"2022","Construction","Ähtäri",2,2
"2022","Construction","Äänekoski",1,1
"2022","Trade","WHOLE COUNTRY",447,1278
"2022","Trade","Akaa",1,2
"2022","Trade","Alajärvi",0,0
"2022","Trade","Alavieska",0,0
"2022","Trade","Alavus",1,2
"2022","Trade","Asikkala",0,0
"2022","Trade","Askola",1,1
"2022","Trade","Aura",0,0
"2022","Trade","Brändö",0,0
"2022","Trade","Eckerö",0,0
"2022","Trade","Enonkoski",0,0
"2022","Trade","Enontekiö",0,0
"2022","Trade","Espoo",21,49
"2022","Trade","Eura",2,5
"2022","Trade","Eurajoki",1,1
"2022","Trade","Evijärvi",0,0
"2022","Trade","Finström",0,0
"2022","Trade","Forssa",2,2
"2022","Trade","Föglö",0,0
